date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2022-03-31,66.0,20.0,10.0,5.0,1.0,3.0,,,,,,
2022-04-01,68.0,20.0,13.0,5.0,1.0,2.0,,,,,,
2022-04-02,68.0,16.0,26.0,5.0,1.0,1.0,,,,,,
2022-04-03,56.0,16.0,26.0,8.0,1.0,2.0,,,,,,
2022-04-04,49.0,15.0,23.0,8.0,1.0,2.0,,,,,,
2022-04-05,44.0,17.0,31.999999999999996,10.0,1.0,3.0,,,,,,
2022-04-06,47.0,24.0,23.0,9.0,1.0,2.0,,,,,,
2022-04-07,57.0,14.0,26.0,7.000000000000001,1.0,2.0,,,,,,
2022-04-08,35.0,5.0,22.0,5.0,1.0,2.0,,,,,,
2022-04-09,18.0,6.0,28.0,5.0,1.0,2.0,,,,,,
2022-04-10,22.0,7.0,26.999999999999996,5.0,1.0,2.0,,,,,,
2022-04-11,24.0,18.0,31.999999999999996,9.0,1.0,3.0,,,,,,
2022-04-12,48.0,21.0,34.0,9.0,1.0,3.0,,,,,,
2022-04-13,54.0,25.0,34.0,10.0,1.0,4.0,,,,,,
2022-04-14,52.0,26.0,25.0,7.000000000000001,1.0,3.0,,,,,,
2022-04-15,57.0,7.0,15.999999999999998,5.0,1.0,3.0,,,,,,
2022-04-16,28.0,5.0,28.0,3.0,1.0,2.0,,,,,,
2022-04-17,17.0,7.0,26.999999999999996,4.0,1.0,2.0,,,,,,
2022-04-18,27.0,13.0,25.0,6.0,1.0,2.0,,,,,,
2022-04-19,46.0,18.0,50.0,6.0,1.0,3.0,,,,,,
2022-04-20,58.0,30.0,35.0,9.0,1.0,4.0,,,,,,
2022-04-21,73.0,25.0,23.0,7.000000000000001,1.0,3.0,,,,,,
2022-04-22,66.0,18.0,23.0,5.0,1.0,3.0,,,,,,
2022-04-23,62.0,15.0,25.0,5.0,1.0,4.0,,,,,,
2022-04-24,47.0,9.0,26.0,5.0,1.0,3.0,,,,,,
2022-04-25,24.0,11.0,30.0,6.0,1.0,4.0,,,,,,
2022-04-26,32.0,15.0,22.0,5.0,1.0,4.0,,,,,,
2022-04-27,43.0,10.0,28.0,4.0,1.0,4.0,,,,,,
2022-04-28,35.0,13.0,38.0,6.0,1.0,4.0,,,,,,
2022-04-29,39.0,17.0,37.0,8.0,1.0,4.0,,,,,,
2022-04-30,46.0,13.0,37.0,7.000000000000001,1.0,3.0,,,,,,
2022-05-01,38.0,17.0,40.0,8.0,1.0,4.0,,,,,,
2022-05-02,40.0,19.0,36.0,8.0,1.0,4.0,,,,,,
2022-05-03,43.0,19.0,36.0,8.0,1.0,4.0,,,,,,
2022-05-04,48.0,17.0,40.0,9.0,1.0,3.0,,,,,,
2022-05-05,44.0,19.0,33.0,7.000000000000001,1.0,4.0,,,,,,
2022-05-06,47.0,16.0,36.0,7.000000000000001,1.0,3.0,,,,,,
2022-05-07,44.0,15.0,37.0,6.0,1.0,3.0,,,,,,
2022-05-08,42.0,14.0,26.999999999999996,11.0,1.0,3.0,,,,,,
2022-05-09,37.0,15.0,33.0,12.0,1.0,3.0,,,,,,
2022-05-10,39.0,22.0,57.0,20.0,1.0,4.0,,,,,,
2022-05-11,48.0,26.0,58.0,18.0,1.0,3.0,,,,,,
2022-05-12,49.0,14.0,40.0,11.0,1.0,3.0,,,,,,
2022-05-13,28.0,14.0,48.0,5.0,1.0,3.0,,,,,,
2022-05-14,31.0,13.0,53.00000000000001,8.0,1.0,2.0,,,,,,
2022-05-15,31.0,20.0,57.0,13.0,1.0,3.0,,,,,,
2022-05-16,40.0,23.0,31.999999999999996,15.0,1.0,3.0,,,,,,
2022-05-17,56.0,12.0,40.0,8.0,1.0,2.0,,,,,,
2022-05-18,23.0,23.0,44.0,15.0,1.0,2.0,,,,,,
2022-05-19,31.0,20.0,57.0,17.0,2.0,3.0,,,,,,
2022-05-20,31.0,14.0,41.0,12.0,1.7500000000000002,3.0,,,,,,
2022-05-21,30.0,8.0,39.0,4.0,1.5000000000000002,2.0,,,,,,
2022-05-22,18.0,7.5,41.0,7.999999999999999,1.25,2.0,,,,,,
2022-05-31,18.0,7.0,43.0,12.0,1.0,2.0,,,,,,
2022-06-01,18.0,11.0,45.0,15.0,1.0,3.0,,,,,,
2022-06-02,31.0,11.0,45.0,13.0,2.0,3.0,,,,,,
2022-06-03,29.0,10.0,28.0,13.0,1.0,3.0,,,,,,
2022-06-04,32.0,11.0,42.0,9.0,1.0,3.0,,,,,,
2022-06-05,38.0,9.0,42.0,10.0,1.0,3.0,,,,,,
2022-06-06,30.0,9.0,41.0,15.0,1.0,3.0,,,,,,
2022-06-07,25.0,13.0,33.0,15.0,2.0,3.0,,,,,,
2022-06-08,39.0,12.0,26.0,16.0,1.0,3.0,,,,,,
2022-06-09,37.0,11.0,31.0,12.0,1.0,3.0,,,,,,
2022-06-10,34.0,11.0,34.0,11.0,1.0,3.0,,,,,,
2022-06-11,33.0,10.0,37.0,12.0,1.0,3.0,,,,,,
2022-06-12,32.0,11.0,38.0,16.0,1.0,3.0,,,,,,
2022-06-13,30.0,10.0,22.0,12.0,1.0,3.0,,,,,,
2022-06-14,22.0,8.0,0.9999999999999999,16.0,2.0,2.0,,,,,,
2022-06-15,21.0,8.5,12.0,26.0,2.0,3.0,,,,,,
2022-06-16,21.0,9.0,34.0,11.0,1.0,2.0,,,,,,
2022-06-17,21.0,8.0,42.0,13.0,2.0,2.0,,,,,,
2022-06-18,22.0,14.0,10.0,22.0,2.0,3.0,,,,,,
2022-06-19,42.0,19.0,39.0,14.000000000000002,2.0,2.0,,,,,,
2022-06-20,34.0,11.0,30.0,9.0,2.0,2.0,,,,,,
2022-06-21,22.0,9.0,31.0,15.0,2.0,2.0,,,,,,
2022-06-22,17.0,11.0,41.0,16.0,3.0,2.0,,,,,,
2022-06-23,19.0,14.0,38.0,14.000000000000002,2.0,2.0,,,,,,
2022-06-24,26.0,12.0,37.0,13.0,2.0,1.0,,,,,,
2022-06-25,25.0,8.0,45.0,15.0,2.0,2.0,,,,,,
2022-06-26,24.0,12.0,44.0,16.0,2.0,2.0,,,,,,
2022-06-27,31.0,14.0,39.0,17.0,2.0,2.0,,,,,,
2022-06-28,34.0,17.0,40.0,17.0,3.0,2.0,,,,,,
2022-06-29,38.0,21.0,42.0,16.0,3.0,2.0,,,,,,
2022-06-30,36.0,27.0,40.0,15.0,3.0,2.0,,,,,,
2022-07-01,48.0,29.0,31.0,10.0,2.0,2.0,,,,,,
